id,name,description,condition,flag_level,risk_increment,is_active,created_at
907cbadd-8d02-4682-b4ed-200c7162b2b2,High Spending Engineer in Crypto Wallet,Rule to detect high spending engineer in crypto wallet,t.occupation = 'Engineer' AND t.origination = 'Crypto Wallet' AND uts.sum_30d > 200000,Medium,18.92,TRUE,2025-06-18 12:37:16.313515
beba71cb-04c0-4f88-a13d-1bb01b7b0dc2,Frequent ATM Transactions by Seniors,Rule to detect frequent atm transactions by seniors,t.occupation = 'Engineer' AND t.age > 60 AND t.origination = 'ATM' AND uts.trans_count_30d > 50,Medium,3.69,TRUE,2025-06-18 12:37:16.313911
e7386211-c782-4640-9773-ebfc8fdf52be,Low Avg but High Count for Teachers,Rule to detect low avg but high count for teachers,t.occupation = 'Teacher' AND uts.avg_15d < 1000 AND uts.trans_count_15d > 80,High,14.3,TRUE,2025-06-18 12:37:16.314191
4a15d797-ee88-4b2f-b0e3-996c288878a8,Branch Origination High Avg,Rule to detect branch origination high avg,t.origination = 'Branch' AND uts.avg_60d > 5000,High,13.47,TRUE,2025-06-18 12:37:16.314363
ddf7b06c-3d30-4684-9746-639cf97990af,Online Origination with Low Balance and High Sum,Rule to detect online origination with low balance and high sum,t.origination = 'Online' AND t.balance < 500 AND uts.sum_30d > 150000,High,14.39,TRUE,2025-06-18 12:37:16.314492
0d9156b6-c74b-4dfb-bee9-f82a504044da,International Transfers by Artists with High Sum,Rule to detect international transfers by artists with high sum,t.occupation = 'Artist' AND t.origination = 'International' AND uts.sum_60d > 300000,Medium,5.63,TRUE,2025-06-18 12:37:16.314651
402ae868-176e-44d3-b707-388b78f6bca3,SWIFT Origination High Count Low Avg,Rule to detect swift origination high count low avg,t.origination = 'SWIFT' AND uts.trans_count_30d > 70 AND uts.avg_30d < 1500,High,14.1,TRUE,2025-06-18 12:37:16.314845
83f3e20d-29fb-4c7f-8b18-ed84197c7bc4,Mobile Origination with High Avg and Count,Rule to detect mobile origination with high avg and count,t.origination = 'Mobile' AND uts.avg_15d > 4000 AND uts.trans_count_15d > 40,Low,12.66,TRUE,2025-06-18 12:37:16.315195
4a744065-dbae-4e2c-8666-c84065e45f84,Frequent POS Transactions by Lawyers,Rule to detect frequent pos transactions by lawyers,t.occupation = 'Lawyer' AND t.origination = 'POS' AND uts.trans_count_30d > 60,Low,4.86,TRUE,2025-06-18 12:37:16.315608
4fc8a543-3d67-4c81-82b5-d29773c0996c,ACH Origination High Sum Low Avg,Rule to detect ach origination high sum low avg,t.origination = 'ACH' AND uts.sum_90d > 350000 AND uts.avg_90d < 2000,Low,9.53,TRUE,2025-06-18 12:37:16.315948
