id,name,description,condition,flag_level,risk_increment,is_active,created_at,updated_at
3f0d59b1-6df9-4e47-85c6-5e287cc8b74f,High Crypto and Night Activity,High crypto usage and night transactions,uts.crypto_txn_ratio_30 > 0.3 AND uts.night_txn_ratio_30 > 0.5 AND uts.trans_count_30d > 10,High,1.2,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
af35a5d4-1c7c-4a99-bc16-29a3f7f8f20a,Frequent High Value Txns,More than 5 High value transactions in last 90 days,uts.high_value_txn_count_90 >= 5 AND t.trans_amt > 100000,Medium,1.4,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
ea16c418-bae1-4a1f-81f4-1c85b21d1670,Recent KYC with High Spend,KYC done recently and spent over 100K in last 15 days,uts.kyc_age_days < 30 AND uts.sum_15d > 100000 AND t.age < 25,High,2,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
87a4904b-6c10-4e86-9507-f7f5ef8411fd,Geo Diverse Activity,Transactions from more than 3 countries,uts.geo_diversity_score > 3 AND t.cross_border = TRUE,Medium,1.1,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
3b2c57ed-b50f-4535-9f6f-fb15a94c4d70,Smurfing Pattern,Frequent low-value transactions below reporting threshold,uts.txn_below_threshold_7 >= 10 AND t.trans_amt < 10000,High,2.1,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
c29fc1a0-e203-4c61-9b2e-d159b157bb6c,Unusual Weekday Activity,Almost all transactions on weekdays,uts.weekday_txn_ratio > 0.95 AND t.transaction_time::time BETWEEN '09:00:00' AND '17:00:00',Low,2.3,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
a30ea56d-3302-49ff-88e0-d82012168b8d,High Burst Activity,More than 8 transactions in 24 hours,uts.burst_txn_count_24h >= 8 AND t.new_trans = TRUE,Medium,0.8,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
f6b52c95-c0ae-4b6e-beb8-7f7bdb5d836e,Long Inactivity Then Spike,No transactions for long then High count,uts.days_since_last_txn > 30 AND uts.trans_count_15d > 5,High,2,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
bf80ec1a-9362-438e-84e4-d20cb73c2372,Low Avg Value But High Volume,Small average txns but High count,uts.avg_30d < 500 AND uts.trans_count_30d > 30,Low,1,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
dc9b33d5-9b9e-4387-9de2-68705374c295,Crypto and High Value Combo,High crypto and High value txn count,uts.crypto_txn_ratio_30 > 0.2 AND uts.High_value_txn_count_90 > 3,High,2.5,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
e6e5c514-9f4a-47aa-94be-4c28729dd9bc,Inactivity Spike,Very High inactivity period,uts.days_since_last_txn > 90,Low,1.9,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
4c61c843-2fa1-4c3a-b5cd-76131593dce2,Large Txn Increase,Significant change in transaction amount,uts.large_txn_change_ratio > 1.5 AND t.balance > 500000,Medium,1.6,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
94a8458c-80c9-4b79-b94f-82f26800ac1d,High Risk New User,Young user with risky pattern,t.age < 21 AND uts.crypto_txn_ratio_30 > 0.25 AND t.pep_status = TRUE,High,1.3,TRUE,2025-07-07 17:11:18.514096,2025-07-07 17:11:18.514096
