id,name,description,condition,flag_level,risk_increment,is_active,created_at,updated_at
34f79051-b7d2-4c87-a2bc-0d86c4c2bcca,High Value Young User,Rule to detect high value young user,t.trans_amt > 500000 AND t.age < 25,High,0.635,TRUE,2025-06-18 12:29:55.388598,2025-06-18 12:29:55.388599
eae3f772-27e7-41f2-8c21-2e12564b856a,Cross Border Transaction,Rule to detect cross border transaction,t.cross_border = TRUE AND t.trans_amt > 100000,High,1.465,TRUE,2025-06-18 12:29:55.388638,2025-06-18 12:29:55.388600
afa78d8b-94d0-4534-9c99-5589986e6ff6,PEP Transaction,Rule to detect pep transaction,t.pep_status = TRUE AND t.trans_amt > 10000,Low,0.301,TRUE,2025-06-18 12:29:55.388667,2025-06-18 12:29:55.388601
0cf858f6-22a7-4032-ac18-13588285ed3d,High Risk Origination,Rule to detect high risk origination,"t.origination IN ('SWIFT', 'Crypto Wallet') AND t.trans_amt > 100000",Low,1.787,TRUE,2025-06-18 12:29:55.388705,2025-06-18 12:29:55.388602
c4768469-c45e-4192-9877-6093a85f814a,High Frequency Transactions,Rule to detect high frequency transactions,uts.trans_count_15d > 50 AND uts.sum_15d > 200000,Medium,1.085,TRUE,2025-06-18 12:29:55.388720,2025-06-18 12:29:55.388603
cd31f58f-fb4c-4704-bdb4-04fe127cddab,Low Balance High Transfer,Rule to detect low balance high transfer,t.balance < 1000 AND t.trans_amt > 100000,High,0.19,TRUE,2025-06-18 12:29:55.388735,2025-06-18 12:29:55.388604
ce794d0d-29a9-4f02-ac1e-d7ba4a5d9bb6,Unusual Age Bracket,Rule to detect unusual age bracket,t.age < 18 OR t.age > 80 AND t.trans_amt > 50000,Medium,1.932,TRUE,2025-06-18 12:29:55.388749,2025-06-18 12:29:55.388605
dd5b4101-e579-481b-b695-3773be7c333b,Frequent New Transactions,Rule to detect frequent new transactions,t.new_trans = TRUE AND uts.trans_count_15d > 20,High,1.29,TRUE,2025-06-18 12:29:55.388766,2025-06-18 12:29:55.388606
e03ff2d5-1c19-4516-92c1-66a76a7f0299,High Risk Country,Rule to detect high risk country,"t.nationality IN ('Iran', 'North Korea') AND t.trans_amt > 5000",Low,1.758,TRUE,2025-06-18 12:29:55.388779,2025-06-18 12:29:55.388607
6eafc538-c754-41b0-9653-b1217a9a393c,Large Amount from ATM,Rule to detect large amount from atm,t.origination = 'ATM' AND t.trans_amt > 250000,Low,1.167,TRUE,2025-06-18 12:29:55.388792,2025-06-18 12:29:55.388608
d867d315-6312-4952-b2e3-787a0ea56a11,Crypto Wallet High Amount,Rule to detect crypto wallet high amount,t.origination = 'Crypto Wallet' AND t.trans_amt > 150000,High,1.556,TRUE,2025-06-18 12:29:55.388803,2025-06-18 12:29:55.388609
2d29b7e6-70f5-4218-9fe6-6b2ea4100800,SWIFT Large Transfer,Rule to detect swift large transfer,t.origination = 'SWIFT' AND t.trans_amt > 300000,Medium,1.602,TRUE,2025-06-18 12:29:55.388816,2025-06-18 12:29:55.388610
a38a0399-14e0-4a27-85d4-625eb6d1bd2b,Night Transactions,Rule to detect night transactions,EXTRACT(HOUR FROM t.trans_time) BETWEEN 0 AND 4 AND t.trans_amt > 10000,Low,1.79,TRUE,2025-06-18 12:29:55.388828,2025-06-18 12:29:55.388611
498e5d63-44ac-4c0c-a343-f5581c98ce6b,Senior Citizen Large Transfer,Rule to detect senior citizen large transfer,t.age > 65 AND t.trans_amt > 200000,Medium,0.98,TRUE,2025-06-18 12:29:55.388841,2025-06-18 12:29:55.388612
f20bf207-d774-4045-b4c5-3b97eb839221,High Risk Sex and Age,Rule to detect high risk sex and age,t.sex = 'Other' AND t.age < 30 AND t.trans_amt > 100000,High,1.079,TRUE,2025-06-18 12:29:55.388852,2025-06-18 12:29:55.388613
c5b595d3-06b0-4fdd-b6e4-4a2178986dec,International Large Transfers,Rule to detect international large transfers,t.origination = 'International' AND t.trans_amt > 200000,Medium,0.352,TRUE,2025-06-18 12:29:55.388864,2025-06-18 12:29:55.388614
57faf460-59ff-47e3-87fc-01ca73536c88,Mobile Origination Alert,Rule to detect mobile origination alert,t.origination = 'Mobile' AND t.trans_amt > 75000,High,1.214,TRUE,2025-06-18 12:29:55.388876,2025-06-18 12:29:55.388615
2b6ea580-ef41-49f7-aa0a-4d3dbca6cafb,POS High Spending,Rule to detect pos high spending,t.origination = 'POS' AND t.trans_amt > 90000,Low,1.921,TRUE,2025-06-18 12:29:55.388888,2025-06-18 12:29:55.388616
16395ea8-ef86-4e1c-9c39-eb9c8e809c74,Multiple Transactions Short Time,Rule to detect multiple transactions short time,uts.trans_count_15d > 100,Low,0.149,TRUE,2025-06-18 12:29:55.388900,2025-06-18 12:29:55.388617
5b121ff8-a69e-450f-81d8-cae48a548431,Frequent Cross Border,Rule to detect frequent cross border,t.cross_border = TRUE AND uts.trans_count_30d > 20,Low,0.323,TRUE,2025-06-18 12:29:55.388921,2025-06-18 12:29:55.388618
2f7a7a3d-7b1d-404b-88f3-b578408dfdd6,High Average Transaction 15d,Rule to detect high average transaction 15d,uts.avg_15d > 5000,Low,1.464,TRUE,2025-06-18 12:32:31.958059,2025-06-18 12:29:55.388619
1cc46a71-c765-4d06-9e94-030a4424bf7d,High Total Transaction 30d,Rule to detect high total transaction 30d,uts.sum_30d > 250000,Low,0.943,TRUE,2025-06-18 12:32:31.958221,2025-06-18 12:29:55.388620
29e38011-228f-4f89-a119-aa8e579b0be3,Unusual Increase in Avg 15d vs 30d,Rule to detect unusual increase in avg 15d vs 30d,uts.avg_15d > 2 * uts.avg_30d,High,0.608,TRUE,2025-06-18 12:32:31.958588,2025-06-18 12:29:55.388621
3fcdab3d-7e8a-4762-a88c-5c6a9ba81f9b,Spike in Transaction Count 15d,Rule to detect spike in transaction count 15d,uts.trans_count_15d > 100,High,1.97,TRUE,2025-06-18 12:32:31.958876,2025-06-18 12:29:55.388622
1f9f592b-4288-42ee-9dc5-4d4edb473724,High Avg and Sum Combined 60d,Rule to detect high avg and sum combined 60d,uts.avg_60d > 3000 AND uts.sum_60d > 250000,High,1.036,TRUE,2025-06-18 12:32:31.959034,2025-06-18 12:29:55.388623
4ea017c0-f545-4365-9fce-524a59922e06,Avg Exceeds Threshold 90d,Rule to detect avg exceeds threshold 90d,uts.avg_90d > 8000,Medium,1.574,TRUE,2025-06-18 12:32:31.959819,2025-06-18 12:29:55.388624
03ee5bda-293a-4c64-a02d-c2da7ffee1f7,High Frequency 30d Low Value,Rule to detect high frequency 30d low value,uts.trans_count_30d > 80 AND uts.avg_30d < 1500,Medium,1.764,TRUE,2025-06-18 12:32:31.960172,2025-06-18 12:29:55.388625
